Date,T2M_Anomaly,SM_Anomaly
1981-01-01,0.619751,0.002977401
1981-01-08,-2.747406,0.0025904179
1981-01-15,1.2136841,0.018658549
1981-01-22,-1.2073975,0.0064175725
1981-01-29,-0.3005371,0.0055958927
1981-02-05,3.2445984,0.028419077
1981-02-12,-0.21566772,0.020109862
1981-02-19,1.3356628,0.014305741
1981-02-26,-0.60427856,0.0073229373
1981-03-05,2.7770996,0.010687381
1981-03-12,5.4080505,0.0090581775
1981-03-19,3.6177063,0.02260232
1981-03-26,2.4538574,-0.009413749
1981-04-02,-1.8003845,-0.012622029
1981-04-09,0.84161377,-0.00851199
1981-04-16,-1.5875549,0.00459975
1981-04-23,1.7428589,-0.007712811
1981-04-30,-0.42715454,0.004059255
1981-05-07,-2.0563354,0.033394635
1981-05-14,-1.3110962,0.018609345
1981-05-21,-2.0521545,0.0017769337
1981-05-28,0.96136475,-0.026959896
1981-06-04,2.0199585,-0.035827756
1981-06-11,0.9279785,-0.019098192
1981-06-18,-1.6093445,-0.0006184876
1981-06-25,2.644165,-0.031895295
1981-07-02,-1.4421692,-0.04632853
1981-07-09,-0.5725708,-0.011606395
1981-07-16,-1.8613892,-0.0016688257
1981-07-23,-1.7434387,-0.00095407665
1981-07-30,-0.48007202,0.014414847
1981-08-06,1.043396,-0.021201491
1981-08-13,-0.96899414,0.042467743
1981-08-20,-3.0129395,0.025560886
1981-08-27,-4.041382,0.042297915
1981-09-03,-1.941742,0.0384769
1981-09-10,-1.5157776,0.04865049
1981-09-17,0.6252136,0.03434728
1981-09-24,2.077942,0.0016433746
1981-10-01,1.9307251,0.0414719
1981-10-08,1.5170288,0.0065918565
1981-10-15,1.8569336,0.0007663667
1981-10-22,2.0466614,0.020563096
1981-10-29,1.2679138,0.0114476085
1981-11-05,-2.2286682,0.009240538
1981-11-12,-2.2016907,0.040286243
1981-11-19,1.1362305,0.026620626
1981-11-26,-1.8261719,0.020373642
1981-12-03,1.2938843,0.018119246
1981-12-10,3.9786682,0.023137689
1981-12-17,1.6010742,0.015057504
1981-12-24,2.692047,0.013880372
1981-12-31,4.9996033,0.013289779
1982-01-07,-0.44354248,0.0047278404
1982-01-14,-0.6243286,-0.003335029
1982-01-21,-1.500946,-0.008500546
1982-01-28,-0.60339355,0.0042327344
1982-02-04,-1.0758667,-0.0019749403
1982-02-11,-0.8680725,-0.003115654
1982-02-18,-0.6029968,-0.007113695
1982-02-25,2.0780945,0.016975522
1982-03-04,-0.17971802,0.0004053414
1982-03-11,0.34991455,0.0134691
1982-03-18,-1.7035828,0.02932468
1982-03-25,0.41052246,0.020649076
1982-04-01,-0.05130005,0.023080796
1982-04-08,0.44680786,-0.00044319034
1982-04-15,-1.3517761,0.02465269
1982-04-22,-3.890808,0.025966138
1982-04-29,-1.7936401,0.040043145
1982-05-06,2.574585,-0.01444152
1982-05-13,-0.63345337,-0.008413881
1982-05-20,-0.21307373,0.0011721551
1982-05-27,-0.1913147,0.033316582
1982-06-03,-0.03479004,0.011209816
1982-06-10,-0.45339966,0.015077531
1982-06-17,-0.18856812,-0.0043409467
1982-06-24,2.7645874,-0.033398047
1982-07-01,-1.2770386,-0.04632567
1982-07-08,-2.9282227,0.02052185
1982-07-15,-0.92593384,0.027946308
1982-07-22,-0.38388062,0.038565636
1982-07-29,-1.7802734,0.06336667
1982-08-05,-0.8234558,0.062136814
1982-08-12,0.7701721,0.029577672
1982-08-19,-1.504425,0.037949324
1982-08-26,-0.36950684,0.039477587
1982-09-02,0.9986572,0.01022698
1982-09-09,1.5967712,0.018090948
1982-09-16,1.8598022,-0.01480104
1982-09-23,1.802948,-0.0074424148
1982-09-30,0.09829712,0.039211184
1982-10-07,0.6782837,0.050788045
1982-10-14,0.94873047,0.042582005
1982-10-21,1.7033081,0.006314218
1982-10-28,-0.8363342,-0.018896013
1982-11-04,-2.5720215,-0.03508109
1982-11-11,1.2032166,-0.019486755
1982-11-18,0.8045349,0.025274962
1982-11-25,1.3640137,-0.012013555
1982-12-02,-0.69143677,-0.026778728
1982-12-09,5.3648376,-0.012868494
1982-12-16,5.9892273,0.00078082085
1982-12-23,3.7554016,-0.0027030706
1982-12-30,-0.65982056,-0.006255865
1983-01-06,3.1700134,-0.0042800605
1983-01-13,4.7728577,-0.0040719807
1983-01-20,0.739624,-0.0038782954
1983-01-27,4.426056,0.0050219
1983-02-03,1.0277405,0.011053711
1983-02-10,5.4887695,0.009437889
1983-02-17,-3.8501892,-0.006530136
1983-02-24,-0.8031616,-0.0011375844
1983-03-03,0.27130127,-0.0009583533
1983-03-10,0.9041748,-0.025795966
1983-03-17,3.8104553,-0.03364283
1983-03-24,3.0179138,-0.022241116
1983-03-31,1.1827393,-0.005233079
1983-04-07,3.4286804,-0.02493608
1983-04-14,-1.5407104,-0.02097097
1983-04-21,4.6231384,-0.0570347
1983-04-28,5.0970764,-0.075294495
1983-05-05,-1.0089111,-0.063251495
1983-05-12,3.9014587,-0.071774215
1983-05-19,1.3761292,-0.045192987
1983-05-26,-0.5417175,-0.018920332
1983-06-02,0.47750854,-0.016489565
1983-06-09,-1.6056213,0.016313165
1983-06-16,-3.1895142,0.063557595
1983-06-23,-1.4844055,0.038717866
1983-06-30,-0.56118774,0.07379174
1983-07-07,0.026397705,0.06994954
1983-07-14,-0.23284912,0.07145952
1983-07-21,-0.9871826,0.045520887
1983-07-28,0.4494934,0.044973657
1983-08-04,-2.72937,0.04337746
1983-08-11,-2.0028076,0.040716782
1983-08-18,-1.1373901,0.009907782
1983-08-25,-0.7492981,0.011431605
1983-09-01,-1.3742981,0.015191957
1983-09-08,0.22061157,-0.0068998784
1983-09-15,-0.05429077,0.018606693
1983-09-22,-2.0541077,0.041102916
1983-09-29,-1.4071655,0.020306915
1983-10-06,0.8276062,-0.0067029595
1983-10-13,-1.2677612,-0.009945959
1983-10-20,-2.7702332,-0.022298336
1983-10-27,-0.9612427,-0.005377859
1983-11-03,1.9172363,-0.015387714
1983-11-10,-3.2191772,-0.031038225
1983-11-17,-3.5022888,-0.01862216
1983-11-24,-0.42947388,-0.0102825165
1983-12-01,-2.9978943,0.0006040633
1983-12-08,-2.3059692,-0.0072870553
1983-12-15,1.1311951,-0.0118789375
1983-12-22,3.9315186,0.0024161637
1983-12-29,3.9353638,-0.0056006014
1984-01-05,2.7159424,0.01030153
1984-01-12,1.5659485,0.008286178
1984-01-19,3.267395,0.018164843
1984-01-26,0.79599,0.017195195
1984-02-02,4.0390015,0.021531343
1984-02-09,-0.92974854,0.019211054
1984-02-16,-0.90179443,0.005375594
1984-02-23,2.3138428,0.014981627
1984-03-01,0.4800415,0.022948444
1984-03-08,-1.3462219,0.021762222
1984-03-15,-1.9343567,0.022573918
1984-03-22,-1.2315674,0.031449974
1984-03-29,0.13348389,0.017816126
1984-04-05,-0.26849365,0.036785394
1984-04-12,0.49676514,0.02926609
1984-04-19,-2.294403,0.02443853
1984-04-26,-2.7509766,0.03506571
1984-05-03,0.66659546,0.0116481185
1984-05-10,-0.15228271,0.026866585
1984-05-17,1.1911011,0.002529323
1984-05-24,-0.9712219,-0.0078059137
1984-05-31,0.5419922,-0.008854568
1984-06-07,-1.401123,-0.018139213
1984-06-14,-2.1443481,-0.021615446
1984-06-21,-1.6661377,-0.012763172
1984-06-28,-0.29864502,-0.03975247
1984-07-05,-3.5657349,-0.028332427
1984-07-12,0.57199097,-0.037939996
1984-07-19,-1.5823059,-0.02431807
1984-07-26,-3.3920288,0.013088375
1984-08-02,0.13223267,-0.010733694
1984-08-09,-0.73965454,-0.0069583356
1984-08-16,-3.8719482,0.04489994
1984-08-23,-3.1161804,0.056714684
1984-08-30,-0.738678,0.027375668
1984-09-06,0.38446045,-0.003166601
1984-09-13,1.2966614,-0.011421308
1984-09-20,1.0134888,0.019608617
1984-09-27,0.4281006,0.0048546344
1984-10-04,4.0556946,-0.024704412
1984-10-11,0.9290161,-0.047080934
1984-10-18,0.5001526,-0.058946878
1984-10-25,2.401764,-0.07183735
1984-11-01,0.8851929,-0.06647761
1984-11-08,0.9857788,-0.07197498
1984-11-15,1.1097107,-0.010590136
1984-11-22,2.9842834,-0.0057625473
1984-11-29,-0.08224487,-0.037905127
1984-12-06,-1.1322327,-0.05559042
1984-12-13,1.228363,-0.054918706
1984-12-20,0.57940674,-0.050439686
1984-12-27,-2.3066406,-0.031998813
1985-01-03,-2.0115967,-0.019885153
1985-01-10,-5.3483276,-0.02399534
1985-01-17,-2.0502625,-0.023384988
1985-01-24,1.8063049,0.007159978
1985-01-31,-0.16488647,0.002941072
1985-02-07,0.5086975,0.011970013
1985-02-14,-7.3262634,-0.0027584732
1985-02-21,-6.9859924,-0.01849246
1985-02-28,-2.3810425,0.002141118
1985-03-07,-1.5300293,0.0032242835
1985-03-14,1.147644,0.021845907
1985-03-21,-0.9037781,0.028446019
1985-03-28,-0.76885986,0.018021703
1985-04-04,4.5637817,-0.007828027
1985-04-11,1.4685669,-0.0016996264
1985-04-18,0.30343628,0.010342121
1985-04-25,-0.5249939,0.009215832
1985-05-02,0.51486206,0.004703492
1985-05-09,3.1055908,0.011273086
1985-05-16,1.790802,0.014718324
1985-05-23,1.3553772,9.325147e-05
1985-05-30,-0.3074646,0.020566076
1985-06-06,1.2667236,-0.003521353
1985-06-13,-1.2372131,-0.022325754
1985-06-20,-3.0618286,0.009223938
1985-06-27,-1.45578,-0.0023093522
1985-07-04,-2.3572083,-0.008541048
1985-07-11,-1.8042603,0.0011700243
1985-07-18,0.31118774,-0.014931172
1985-07-25,1.9631958,-0.040983424
1985-08-01,0.52215576,-0.02247408
1985-08-08,-0.9623413,-0.004682705
1985-08-15,1.4804382,-0.05680409
1985-08-22,0.728302,-0.0488701
1985-08-29,0.29608154,0.04386857
1985-09-05,-2.7011414,0.020043924
1985-09-12,-1.7969971,0.0028535873
1985-09-19,1.7266235,-0.042990983
1985-09-26,-0.68252563,-0.04926744
1985-10-03,1.4887085,-0.07699041
1985-10-10,-1.6591187,-0.058862492
1985-10-17,-2.3876953,-0.019907445
1985-10-24,-3.5655212,-0.022801816
1985-10-31,3.02536,-0.012534529
1985-11-07,1.6596985,0.013126224
1985-11-14,0.12591553,-0.0068217814
1985-11-21,1.0184326,0.033742428
1985-11-28,1.1560364,0.023928344
1985-12-05,3.388092,-0.004201263
1985-12-12,3.7808228,-0.011896819
1985-12-19,-0.42565918,-0.024004161
1985-12-26,4.2645874,-0.009244144
1986-01-02,4.0790405,0.012747705
1986-01-09,1.0219116,0.0056848824
1986-01-16,0.6876526,0.0112220645
1986-01-23,2.3406677,0.019868344
1986-01-30,-0.5671387,0.015776157
1986-02-06,-0.13494873,0.013051331
1986-02-13,1.3104858,0.014103681
1986-02-20,1.2415161,0.028404415
1986-02-27,-4.4868774,0.012263864
1986-03-06,1.2480164,0.021858215
1986-03-13,-1.4617004,0.003359586
1986-03-20,-0.6944275,0.003480196
1986-03-27,3.2770996,-0.0019318461
1986-04-03,4.9317017,-0.036527157
1986-04-10,-0.03955078,-0.031285107
1986-04-17,1.6667786,-0.028714478
1986-04-24,3.9006348,-0.049714386
1986-05-01,0.5665283,-0.00690642
1986-05-08,-0.8322449,-0.01745838
1986-05-15,0.69421387,-0.016737789
1986-05-22,2.0189514,-0.013810068
1986-05-29,0.30233765,-0.020024091
1986-06-05,-0.3071289,0.021254271
1986-06-12,1.820221,0.04716307
1986-06-19,0.41897583,0.006116897
1986-06-26,-2.800171,0.015322149
1986-07-03,-0.44641113,0.047495544
1986-07-10,-2.3338623,0.03298253
1986-07-17,-0.9755554,0.055113077
1986-07-24,-1.9291077,0.028763473
1986-07-31,1.1636353,-0.00048293173
1986-08-07,1.4852905,0.024192363
1986-08-14,0.8335571,0.0003655553
1986-08-21,-0.50549316,-0.022292659
1986-08-28,-0.45187378,-0.039678097
1986-09-04,-0.7444763,-0.056871742
1986-09-11,3.8414001,-0.07354988
1986-09-18,-0.52459717,-0.07465637
1986-09-25,-0.8233948,-0.053038597
1986-10-02,-0.41567993,-0.068309814
1986-10-09,-0.948761,-0.08738363
1986-10-16,-1.5371704,-0.0395554
1986-10-23,-0.12817383,0.011349529
1986-10-30,0.14526367,0.013680518
1986-11-06,-1.7209167,-0.0030441284
1986-11-13,-0.234375,-0.04494399
1986-11-20,-0.020355225,-0.06933746
1986-11-27,-0.9284363,-0.07604432
1986-12-04,-0.2894287,-0.091460764
1986-12-11,-0.59313965,-0.09326416
1986-12-18,-1.9261475,-0.04736331
1986-12-25,-3.6716309,-0.040067405
1987-01-01,-0.02609253,-0.0033603013
1987-01-08,-0.7715149,-0.0043045282
1987-01-15,0.44610596,0.0056908727
1987-01-22,-2.6637573,-0.010380536
1987-01-29,-2.0993347,-0.0031699538
1987-02-05,0.9136658,-0.00574556
1987-02-12,5.362793,0.026514173
1987-02-19,2.5219727,0.013733178
1987-02-26,-4.252411,0.0019280314
1987-03-05,-10.104645,-0.004435897
1987-03-12,-6.36911,0.004684776
1987-03-19,-2.4083252,0.03546241
1987-03-26,0.32369995,0.03233075
1987-04-02,0.12698364,0.033254445
1987-04-09,-0.15078735,0.026795805
1987-04-16,0.70388794,0.005179435
1987-04-23,-1.7645874,0.011348158
1987-04-30,-1.2463989,0.018159747
1987-05-07,-2.418518,0.024651378
1987-05-14,-0.28012085,0.01452598
1987-05-21,-3.167511,0.03381306
1987-05-28,-2.572998,0.038762152
1987-06-04,1.4280701,0.010517985
1987-06-11,3.929596,-0.039382756
1987-06-18,-3.0386658,0.004339963
1987-06-25,1.4103699,0.009408146
1987-07-02,0.26882935,0.028043747
1987-07-09,-0.09777832,0.0063549727
1987-07-16,4.069702,-0.024465874
1987-07-23,2.3654175,-0.035452425
1987-07-30,-0.25091553,-0.007143721
1987-08-06,-0.08898926,-0.019480407
1987-08-13,-2.3875427,-0.011394024
1987-08-20,-1.7842102,0.007655278
1987-08-27,0.30563354,-0.03692095
1987-09-03,0.7247925,-0.05592121
1987-09-10,3.623291,-0.06277636
1987-09-17,2.6727905,-0.078412816
1987-09-24,1.918335,-0.0669253
1987-10-01,-3.0356445,0.0054396987
1987-10-08,1.1019897,0.0046513677
1987-10-15,1.0277405,0.011100203
1987-10-22,-0.5684509,-0.014003456
1987-10-29,-3.814911,-0.015059054
1987-11-05,-0.37738037,-0.014020741
1987-11-12,4.0523987,0.00032314658
1987-11-19,1.565155,0.038461298
1987-11-26,4.63501,0.026848048
1987-12-03,0.85150146,0.01569876
1987-12-10,-1.3743286,0.011046052
1987-12-17,1.8310547,0.013727725
1987-12-24,0.5059204,0.0061772764
1987-12-31,4.3312683,-0.0053836405
1988-01-07,4.8059998,-0.0039566755
1988-01-14,0.59265137,-0.01252538
1988-01-21,1.9794617,-0.0077060163
1988-01-28,1.9716187,0.007903755
1988-02-04,5.226288,0.015574545
1988-02-11,2.2257996,0.00082316995
1988-02-18,-0.7307434,-0.012009472
1988-02-25,0.43411255,0.020370036
1988-03-03,-0.47009277,0.018879175
1988-03-10,0.4979248,0.029479533
1988-03-17,-0.1713562,0.026240021
1988-03-24,-0.8461304,0.040275782
1988-03-31,0.8824768,0.026049584
1988-04-07,1.9519348,-0.009447336
1988-04-14,-4.262787,0.0126571655
1988-04-21,0.08364868,0.013162136
1988-04-28,-1.2210388,0.006552428
1988-05-05,1.7502136,-0.022058547
1988-05-12,-1.2532043,-0.013119131
1988-05-19,-0.73147583,0.004125595
1988-05-26,-0.171875,0.018835813
1988-06-02,-0.07644653,0.026158154
1988-06-09,1.1923828,-0.00011509657
1988-06-16,-1.3951416,-0.00274238
1988-06-23,-0.5621338,0.011208415
1988-06-30,4.4630737,-0.017882109
1988-07-07,1.6556091,-0.041769326
1988-07-14,0.52948,-0.024852484
1988-07-21,1.7107544,-0.036741436
1988-07-28,2.0650024,-0.027402207
1988-08-04,0.87387085,-0.05005257
1988-08-11,3.2446594,-0.06694506
1988-08-18,0.9057617,-0.028892398
1988-08-25,-0.4390869,-0.034351617
1988-09-01,1.0610962,-0.031052977
1988-09-08,-1.7758484,-0.005696103
1988-09-15,-0.418396,0.0150190145
1988-09-22,0.95928955,0.014813557
1988-09-29,0.030181885,-0.0144889355
1988-10-06,0.36480713,0.01234296
1988-10-13,-0.24517822,-0.03634292
1988-10-20,-1.3076477,-0.023000777
1988-10-27,-4.4065857,-0.0067234933
1988-11-03,-5.0090027,0.017231941
1988-11-10,-4.7535095,0.009403706
1988-11-17,-2.9502563,0.017169505
1988-11-24,-3.111206,0.022064745
1988-12-01,2.725647,0.042583436
1988-12-08,0.24801636,0.02219963
1988-12-15,-4.518799,-0.0016584098
1988-12-22,-0.24963379,0.008305043
1988-12-29,-0.65826416,-0.004712105
1989-01-05,0.49505615,-0.009401351
1989-01-12,1.2121887,-0.0105804205
1989-01-19,-0.15661621,-0.02072835
1989-01-26,-0.12808228,-0.029218435
1989-02-02,1.4715881,-0.037487805
1989-02-09,1.1807861,-0.040834427
1989-02-16,3.268219,-0.037883192
1989-02-23,5.258026,-0.031648487
1989-03-02,2.6817017,0.0038680434
1989-03-09,2.0084534,-6.9618225e-05
1989-03-16,4.1479797,-0.02423343
1989-03-23,0.82785034,-0.013391852
1989-03-30,4.944519,-0.046259135
1989-04-06,4.156616,-0.07228446
1989-04-13,1.8756104,-0.024870664
1989-04-20,2.336792,-0.03268087
1989-04-27,-0.3390808,-0.024659544
1989-05-04,-2.6157532,0.025550365
1989-05-11,1.6280518,-0.010389358
1989-05-18,-1.3077698,0.008462995
1989-05-25,-2.8771057,0.007098466
1989-06-01,-0.17507935,0.022383869
1989-06-08,-2.381958,0.015286684
1989-06-15,-3.931366,0.0516994
1989-06-22,-0.5722656,0.04184842
1989-06-29,0.41409302,0.035023063
1989-07-06,1.0302429,0.005777031
1989-07-13,-1.6788635,0.009331226
1989-07-20,-2.0524292,-0.0067884177
1989-07-27,-1.798645,0.025195435
1989-08-03,-1.5169373,0.012773752
1989-08-10,0.57196045,0.019473404
1989-08-17,2.3236694,-0.02256219
1989-08-24,0.24890137,-0.0022726953
1989-08-31,-2.4757996,0.055779517
1989-09-07,-1.0462036,0.043731168
1989-09-14,-0.55111694,0.034270182
1989-09-21,0.6468811,-0.011125937
1989-09-28,-2.445465,0.04976788
1989-10-05,-1.9787598,0.06641558
1989-10-12,-1.809906,0.07496449
1989-10-19,0.4232788,0.035359025
1989-10-26,4.0303955,-0.0065368414
1989-11-02,4.569763,-0.010773063
1989-11-09,0.23779297,0.04110703
1989-11-16,-2.8944702,0.0055223703
1989-11-23,-2.7733765,0.0166668
1989-11-30,-5.676178,-0.006113261
1989-12-07,-3.9353638,-0.0075944364
1989-12-14,5.098053,-0.010674328
1989-12-21,2.20047,-0.020146728
1989-12-28,-1.2612915,-0.007402003
1990-01-04,-6.056122,-0.023450702
1990-01-11,-2.2303467,-0.022626966
1990-01-18,0.7006531,-0.0043911636
1990-01-25,3.7979126,-0.007855862
1990-02-01,3.6496277,-0.023810655
1990-02-08,1.9171448,-0.017866582
1990-02-15,3.3765259,-0.005903214
1990-02-22,4.355774,-0.035745442
1990-03-01,1.5927124,-0.027229756
1990-03-08,5.1708984,-0.053363413
1990-03-15,1.6150208,-0.07944372
1990-03-22,4.2182007,-0.09454489
1990-03-29,2.2619019,-0.06180522
1990-04-05,1.2332458,-0.04884079
1990-04-12,-0.32629395,-0.01090309
1990-04-19,1.4942627,0.003406465
1990-04-26,-2.385437,-0.0025272667
1990-05-03,-0.85717773,-0.013903677
1990-05-10,0.3574524,-0.022371978
1990-05-17,-0.023468018,-0.024847567
1990-05-24,-0.29800415,-0.014655411
1990-05-31,-2.9092102,0.01414901
1990-06-07,1.0227661,-0.016412824
1990-06-14,-1.6976929,0.01284793
1990-06-21,1.1927795,-0.027332366
1990-06-28,3.4320374,-0.07134877
1990-07-05,-1.4664307,-0.041285485
1990-07-12,-0.45983887,-0.03674051
1990-07-19,-0.3083496,-0.021810263
1990-07-26,0.3514099,-0.026584744
1990-08-02,0.026550293,-0.034662098
1990-08-09,-1.2783508,5.0202012e-05
1990-08-16,0.45770264,-0.029959127
1990-08-23,-0.49490356,-0.023385555
1990-08-30,0.019897461,-0.04722455
1990-09-06,-2.2553406,-0.009104922
1990-09-13,-4.0864563,0.0029595494
1990-09-20,1.2327576,-0.023712933
1990-09-27,-0.3284607,-0.015287116
1990-10-04,1.3267517,-0.032063678
1990-10-11,0.54599,-0.0511591
1990-10-18,-1.669342,-0.044556186
1990-10-25,1.5870361,-0.0030747354
1990-11-01,3.9390259,0.0026453733
1990-11-08,-2.921173,-0.0145832
1990-11-15,2.774475,-0.030885965
1990-11-22,5.280365,-0.048470348
1990-11-29,0.092803955,-0.003668934
1990-12-06,1.6009827,0.020448416
1990-12-13,0.8119507,0.028046697
1990-12-20,-1.8681335,0.011908561
1990-12-27,1.0195618,0.009223878
1991-01-03,4.779358,0.008533537
1991-01-10,2.3473206,-0.0053439736
1991-01-17,-4.635437,-0.015100837
1991-01-24,-1.8350525,-0.018646449
1991-01-31,-7.6482544,-0.022928238
1991-02-07,1.2503052,0.0043163598
1991-02-14,-1.4328308,0.006623119
1991-02-21,-0.0184021,0.015248954
1991-02-28,-0.032440186,0.0026941001
1991-03-07,0.9970093,-0.0010758936
1991-03-14,0.5427551,0.0072363913
1991-03-21,2.5986023,-0.012561202
1991-03-28,-2.1462097,0.015975386
1991-04-04,0.5706787,0.013646126
1991-04-11,-0.0068969727,0.011454761
1991-04-18,-1.1625061,0.021926135
1991-04-25,-2.402008,0.036550343
1991-05-02,0.1862793,0.02058521
1991-05-09,-2.1574097,0.04024291
1991-05-16,-3.6688538,0.05901882
1991-05-23,-6.205963,0.071329236
1991-05-30,-2.0326843,0.052490264
1991-06-06,-0.3555603,0.051653117
1991-06-13,2.5276184,0.0056323707
1991-06-20,0.9436035,-0.0062771738
1991-06-27,-1.7612,0.00794673
1991-07-04,-1.0734253,0.082909256
1991-07-11,1.4968262,0.04618673
1991-07-18,0.050933838,0.041282058
1991-07-25,-1.2351685,0.057824
1991-08-01,-0.7732239,0.08399913
1991-08-08,1.111145,0.058963418
1991-08-15,-1.732666,0.06497878
1991-08-22,-1.7807007,0.02369973
1991-08-29,-2.745758,0.03012757
1991-09-05,-2.9152222,0.0045634955
1991-09-12,-0.13076782,-0.02205263
